Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
90,tt0069704,2016-10-18,2016-10-18,,"American Graffiti","American Graffiti",https://www.imdb.com/title/tt0069704/,Film,7.4,110,1973,"Commedia, Drammatico",104660,1974-04-24,"George Lucas",,
91,tt0070735,2016-10-18,2016-10-18,,"La stangata","The Sting",https://www.imdb.com/title/tt0070735/,Film,8.2,129,1973,"Commedia, Poliziesco, Drammatico",297705,1974-03-21,"George Roy Hill",,
92,tt0052311,2016-10-18,2016-10-18,,"L'infernale Quinlan","Touch of Evil",https://www.imdb.com/title/tt0052311/,Film,7.9,95,1958,"Poliziesco, Drammatico, Noir, Thriller",114229,1958-08-16,"Orson Welles",,
93,tt0050986,2016-10-19,2016-10-19,,"Il posto delle fragole","Smultronstället",https://www.imdb.com/title/tt0050986/,Film,8.1,92,1957,"Drammatico, Sentimentale",123460,1959-04-11,"Ingmar Bergman",,
94,tt0053604,2016-10-19,2016-10-19,,"L'appartamento","The Apartment",https://www.imdb.com/title/tt0053604/,Film,8.3,125,1960,"Commedia, Drammatico, Sentimentale",216579,1960-10-06,"Billy Wilder",,
95,tt0071853,2016-10-19,2016-10-19,,"Monty Python e il Sacro Graal","Monty Python and the Holy Grail",https://www.imdb.com/title/tt0071853/,Film,8.2,91,1975,"Avventura, Commedia, Fantastico",599196,1976-05-07,"Terry Gilliam, Terry Jones",,
96,tt0078788,2016-10-19,2016-10-19,,"Apocalypse Now","Apocalypse Now",https://www.imdb.com/title/tt0078788/,Film,8.4,147,1979,"Drammatico, Giallo, Guerra",762939,1979-12-18,"Francis Ford Coppola",,
97,tt1450321,2016-10-19,2016-10-19,,"Filth","Filth",https://www.imdb.com/title/tt1450321/,Film,7.0,97,2013,"Azione, Commedia, Poliziesco, Drammatico",121407,2013-10-04,"Jon S. Baird",,
98,tt1355631,2016-10-19,2016-10-19,,"The Infiltrator","The Infiltrator",https://www.imdb.com/title/tt1355631/,Film,7.0,127,2016,"Biografico, Poliziesco, Drammatico, Thriller",84346,2017-05-13,"Brad Furman",,
99,tt2140373,2016-10-20,2016-10-20,,"Saving Mr. Banks","Saving Mr. Banks",https://www.imdb.com/title/tt2140373/,Film,7.5,125,2013,"Biografico, Commedia, Drammatico",174879,2014-02-20,"John Lee Hancock",,
100,tt0038650,2016-10-22,2016-10-22,,"La vita è meravigliosa","It's a Wonderful Life",https://www.imdb.com/title/tt0038650/,Film,8.6,130,1946,"Drammatico, Per famiglie, Fantastico, Sentimentale",550011,1948-03-11,"Frank Capra",,
101,tt0074084,2016-10-22,2016-10-22,,"Novecento","Novecento",https://www.imdb.com/title/tt0074084/,Film,7.6,317,1976,"Drammatico, Storico",28817,1976-09-01,"Bernardo Bertolucci",,
102,tt0031971,2016-10-22,2016-10-22,,"Ombre rosse","Stagecoach",https://www.imdb.com/title/tt0031971/,Film,7.8,96,1939,"Avventura, Drammatico, Western",58103,1940-11-02,"John Ford",,
103,tt0033870,2016-10-22,2016-10-22,,"Il mistero del falco","The Maltese Falcon",https://www.imdb.com/title/tt0033870/,Film,7.9,100,1941,"Poliziesco, Drammatico, Noir, Giallo, Sentimentale",173294,1945-10-30,"John Huston",,
